Extension,Family,ViewerModule,GraphicalEditorModule
bmp,Image,ViewImage.mjs,MediaFamilyEditor.mjs
brd,Image,ViewText.mjs,TextFamilyEditor.mjs
dgn,Image,ViewBinary.mjs,BinaryFamilyEditor.mjs
dsn,Image,ViewText.mjs,TextFamilyEditor.mjs
dwg,Image,ViewBinary.mjs,BinaryFamilyEditor.mjs
dxf,Image,ViewDXF.mjs,ModelFamilyEditor.mjs
excellon,Image,ViewText.mjs,TextFamilyEditor.mjs
exr,Image,ViewEXR.mjs,MediaFamilyEditor.mjs
gif,Image,ViewImage.mjs,MediaFamilyEditor.mjs
jpeg,Image,ViewJPG.mjs,PNGeditor.mjs
jpg,Image,ViewJPG.mjs,PNGeditor.mjs
kicad_pcb,Image,ViewKiCadPCB.mjs,TextFamilyEditor.mjs
kicad_sch,Image,ViewKiCadSCH.mjs,TextFamilyEditor.mjs
kra,Image,ViewBinary.mjs,BinaryFamilyEditor.mjs
ora,Image,ViewBinary.mjs,BinaryFamilyEditor.mjs
png,Image,ViewPNG.mjs,PNGeditor.mjs
psd,Image,ViewImage.mjs,MediaFamilyEditor.mjs
raw,Image,ViewBinary.mjs,BinaryFamilyEditor.mjs
sch,Image,ViewText.mjs,TextFamilyEditor.mjs
svg,Image,ViewSVG.mjs,SVGeditor.mjs
tif,Image,ViewImage.mjs,MediaFamilyEditor.mjs
tiff,Image,ViewImage.mjs,MediaFamilyEditor.mjs
webp,Image,ViewImage.mjs,MediaFamilyEditor.mjs
xcf,Image,ViewImage.mjs,MediaFamilyEditor.mjs
avi,Video,ViewAVI.mjs,VideoFamilyEditor.mjs
mkv,Video,ViewVideo.mjs,VideoFamilyEditor.mjs
mov,Video,ViewVideo.mjs,VideoFamilyEditor.mjs
mp4,Video,ViewMP4.mjs,VideoFamilyEditor.mjs
ogv,Video,ViewVideo.mjs,VideoFamilyEditor.mjs
webm,Video,ViewVideo.mjs,VideoFamilyEditor.mjs
aiff,Sound,ViewAIFF.mjs,SoundFamilyEditor.mjs
flac,Sound,ViewAudio.mjs,SoundFamilyEditor.mjs
mid,Sound,ViewMidi.mjs,MIDIeditor.mjs
midi,Sound,ViewMidi.mjs,MIDIeditor.mjs
mp3,Sound,ViewMP3.mjs,SoundFamilyEditor.mjs
ogg,Sound,ViewAudio.mjs,SoundFamilyEditor.mjs
opus,Sound,ViewAudio.mjs,SoundFamilyEditor.mjs
sf2,Sound,ViewBinary.mjs,BinaryFamilyEditor.mjs
wav,Sound,ViewAudio.mjs,SoundFamilyEditor.mjs
jdx,Chemical,ViewSpectrum.mjs,TextFamilyEditor.mjs
mol,Chemical,ViewMOL.mjs,ModelFamilyEditor.mjs
pdb,Chemical,ViewPDB.mjs,ModelFamilyEditor.mjs
sdf,Chemical,ViewMolecule.mjs,ModelFamilyEditor.mjs
sdf,Chemical,ViewSDF.mjs,ModelFamilyEditor.mjs
xyz,Chemical,ViewText.mjs,TextFamilyEditor.mjs
,Publication,ViewText.mjs,TextFamilyEditor.mjs
abc,Publication,ViewABC.mjs,TextFamilyEditor.mjs
adoc,Publication,ViewADOC.mjs,TextFamilyEditor.mjs
afm,Publication,ViewAFM.mjs,TextFamilyEditor.mjs
ann,Publication,ViewANN.mjs,TextFamilyEditor.mjs
asc,Publication,ViewASC.mjs,TextFamilyEditor.mjs
bed,Publication,ViewText.mjs,TextFamilyEditor.mjs
bib,Publication,ViewText.mjs,TextFamilyEditor.mjs
cfg,Publication,ViewText.mjs,TextFamilyEditor.mjs
cha,Publication,ViewText.mjs,TextFamilyEditor.mjs
ckin,Publication,ViewText.mjs,TextFamilyEditor.mjs
conllu,Publication,ViewText.mjs,TextFamilyEditor.mjs
crt,Publication,ViewText.mjs,TextFamilyEditor.mjs
cti,Publication,ViewText.mjs,TextFamilyEditor.mjs
dat,Publication,ViewText.mjs,TextFamilyEditor.mjs
der,Publication,ViewBinary.mjs,BinaryFamilyEditor.mjs
drl,Publication,ViewText.mjs,TextFamilyEditor.mjs
dtd,Publication,ViewText.mjs,TextFamilyEditor.mjs
epub,Publication,ViewEPUB.mjs,EPUBeditor.mjs
fa,Publication,ViewText.mjs,TextFamilyEditor.mjs
fasta,Publication,ViewText.mjs,TextFamilyEditor.mjs
fastq,Publication,ViewText.mjs,TextFamilyEditor.mjs
fb2,Publication,ViewXML.mjs,XMLFamilyEditor.mjs
flextext,Publication,ViewText.mjs,TextFamilyEditor.mjs
fountain,Publication,ViewText.mjs,TextFamilyEditor.mjs
gff,Publication,ViewText.mjs,TextFamilyEditor.mjs
gtf,Publication,ViewText.mjs,TextFamilyEditor.mjs
hex,Publication,ViewText.mjs,TextFamilyEditor.mjs
hl7,Publication,ViewText.mjs,TextFamilyEditor.mjs
htm,Publication,ViewHTML.mjs,HTMLeditor.mjs
html,Publication,ViewHTML.mjs,HTMLeditor.mjs
http,Publication,ViewText.mjs,TextFamilyEditor.mjs
ics,Publication,ViewICS.mjs,TextFamilyEditor.mjs
ini,Publication,ViewText.mjs,TextFamilyEditor.mjs
inp,Publication,ViewText.mjs,TextFamilyEditor.mjs
io,Publication,ViewIO.mjs,TextFamilyEditor.mjs
kern,Publication,ViewText.mjs,TextFamilyEditor.mjs
lammps,Publication,ViewText.mjs,TextFamilyEditor.mjs
log,Publication,ViewText.mjs,TextFamilyEditor.mjs
ly,Publication,ViewLilyPond.mjs,DocumentFamilyEditor.mjs
md,Publication,ViewMD.mjs,MDeditor.mjs
mei.xml,Publication,ViewMEI.mjs,DocumentFamilyEditor.mjs
mobi,Publication,ViewBinary.mjs,BinaryFamilyEditor.mjs
musicxml,Publication,ViewMusicXML.mjs,DocumentFamilyEditor.mjs
nt,Publication,ViewRDF.mjs,TextFamilyEditor.mjs
odt,Publication,ViewODT.mjs,DocumentFamilyEditor.mjs
ops,Publication,ViewText.mjs,TextFamilyEditor.mjs
org,Publication,ViewText.mjs,TextFamilyEditor.mjs
owl,Publication,ViewRDF.mjs,TextFamilyEditor.mjs
pdf,Publication,ViewPDF.mjs,DocumentFamilyEditor.mjs
pem,Publication,ViewText.mjs,TextFamilyEditor.mjs
rdf,Publication,ViewRDF.mjs,TextFamilyEditor.mjs
ris,Publication,ViewText.mjs,TextFamilyEditor.mjs
rng,Publication,ViewText.mjs,TextFamilyEditor.mjs
rst,Publication,ViewText.mjs,TextFamilyEditor.mjs
s,Publication,ViewText.mjs,TextFamilyEditor.mjs
sam,Publication,ViewText.mjs,TextFamilyEditor.mjs
sfm,Publication,ViewText.mjs,TextFamilyEditor.mjs
sif,Publication,ViewText.mjs,TextFamilyEditor.mjs
sp,Circuit,ViewText.mjs,CircuitEditor.mjs
spi,Circuit,ViewText.mjs,CircuitEditor.mjs
sql,Publication,ViewText.mjs,TextFamilyEditor.mjs
srec,Publication,ViewText.mjs,TextFamilyEditor.mjs
srt,Publication,ViewText.mjs,TextFamilyEditor.mjs
textgrid,Publication,ViewText.mjs,TextFamilyEditor.mjs
toml,Publication,ViewText.mjs,TextFamilyEditor.mjs
trs,Publication,ViewText.mjs,TextFamilyEditor.mjs
ttl,Publication,ViewRDF.mjs,TextFamilyEditor.mjs
txt,Publication,ViewText.mjs,TextFamilyEditor.mjs
vcd,Publication,ViewText.mjs,TextFamilyEditor.mjs
vcf,Publication,ViewVCF.mjs,TextFamilyEditor.mjs
vtt,Publication,ViewText.mjs,TextFamilyEditor.mjs
xsd,Publication,ViewText.mjs,TextFamilyEditor.mjs
xsl,Publication,ViewText.mjs,TextFamilyEditor.mjs
xslt,Publication,ViewText.mjs,TextFamilyEditor.mjs
yaml,Publication,ViewText.mjs,TextFamilyEditor.mjs
yml,Publication,ViewText.mjs,TextFamilyEditor.mjs
csv,Spreadsheet,ViewCSV.mjs,CSVeditor.mjs
ods,Spreadsheet,ViewODS.mjs,DocumentFamilyEditor.mjs
tsv,Spreadsheet,ViewCSV.mjs,CSVeditor.mjs
xls,Spreadsheet,ViewSpreadsheet.mjs,DocumentFamilyEditor.mjs
xlsx,Spreadsheet,ViewSpreadsheet.mjs,DocumentFamilyEditor.mjs
key,Presentation,ViewText.mjs,TextFamilyEditor.mjs
odp,Presentation,ViewODP.mjs,DocumentFamilyEditor.mjs
3mf,Model,View3MF.mjs,ModelFamilyEditor.mjs
amf,Model,ViewAMF.mjs,ModelFamilyEditor.mjs
bvh,Model,ViewBVH.mjs,ModelFamilyEditor.mjs
cir,Circuit,ViewCIR.mjs,CircuitEditor.mjs
dae,Model,ViewBinary.mjs,BinaryFamilyEditor.mjs
fbx,Model,ViewBinary.mjs,BinaryFamilyEditor.mjs
gcode,Model,ViewGCODE.mjs,ModelFamilyEditor.mjs
glb,Model,ViewGLTF.mjs,ModelFamilyEditor.mjs
gltf,Model,ViewGLTF.mjs,ModelFamilyEditor.mjs
h5,Model,ViewHDF5.mjs,ModelFamilyEditor.mjs
ifc,Model,ViewIFC.mjs,ModelFamilyEditor.mjs
iges,Model,ViewText.mjs,TextFamilyEditor.mjs
mesh,Model,ViewText.mjs,TextFamilyEditor.mjs
obj,Model,ViewOBJ.mjs,ModelFamilyEditor.mjs
ply,Model,ViewPLY.mjs,ModelFamilyEditor.mjs
scad,Model,ViewSCAD.mjs,ModelFamilyEditor.mjs
scad,Model,ViewSCAD.mjs,ModelFamilyEditor.mjs
step,Model,ViewSTEP.mjs,ModelFamilyEditor.mjs
stl,Model,ViewSTL.mjs,STLeditor.mjs
unv,Model,ViewText.mjs,TextFamilyEditor.mjs
usd,Model,ViewUSD.mjs,ModelFamilyEditor.mjs
usda,Model,ViewUSD.mjs,ModelFamilyEditor.mjs
usdc,Model,ViewUSD.mjs,ModelFamilyEditor.mjs
vtk,Model,ViewVTK.mjs,ModelFamilyEditor.mjs
vtp,Model,ViewVTK.mjs,ModelFamilyEditor.mjs
latex,Equation,ViewText.mjs,TextFamilyEditor.mjs
tex,Equation,ViewText.mjs,TextFamilyEditor.mjs
bat,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
c,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
cmake,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
coq,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
cpp,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
css,ProgrammingLanguage,ViewCSS.mjs,TextFamilyEditor.mjs
go,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
h,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
java,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
lean,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
mjs,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
php,ProgrammingLanguage,ViewPHP.mjs,PHPeditor.mjs
pl,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
prolog,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
ps1,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
py,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
rs,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
scss,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
sh,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
sv,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
v,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
vhd,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
vhdl,ProgrammingLanguage,ViewText.mjs,TextFamilyEditor.mjs
dem,GeographicalData,ViewBinary.mjs,BinaryFamilyEditor.mjs
geojson,GeographicalData,ViewGeoJSON.mjs,GeoFamilyEditor.mjs
gpkg,GeographicalData,ViewBinary.mjs,BinaryFamilyEditor.mjs
gpx,GeographicalData,ViewGPX.mjs,GeoFamilyEditor.mjs
grib,GeographicalData,ViewGRIB.mjs,GeoFamilyEditor.mjs
kml,GeographicalData,ViewKML.mjs,GeoFamilyEditor.mjs
kmz,GeographicalData,ViewKML.mjs,GeoFamilyEditor.mjs
las,GeographicalData,ViewPointCloud.mjs,ModelFamilyEditor.mjs
laz,GeographicalData,ViewArchive.mjs,BinaryFamilyEditor.mjs
nmea,GeographicalData,ViewGPS.mjs,GeoFamilyEditor.mjs
shp,GeographicalData,ViewBinary.mjs,BinaryFamilyEditor.mjs
shp,GeographicalData,ViewShapefile.mjs,GeoFamilyEditor.mjs
blend,Scene,ViewBinary.mjs,BinaryFamilyEditor.mjs
bullet,Scene,ViewPhysicsWorld.mjs,ModelFamilyEditor.mjs
tscn,Scene,ViewGodotScene.mjs,ModelFamilyEditor.mjs
nbt,Game,ViewNBT.mjs,ModelFamilyEditor.mjs
pgn,Game,ViewPGN.mjs,DocumentFamilyEditor.mjs
sav,Game,ViewBinary.mjs,BinaryFamilyEditor.mjs
bz2,Archive,ViewArchive.mjs,BinaryFamilyEditor.mjs
gz,Archive,ViewArchive.mjs,BinaryFamilyEditor.mjs
jar,Archive,ViewArchive.mjs,BinaryFamilyEditor.mjs
nii.gz,Archive,ViewBinary.mjs,BinaryFamilyEditor.mjs
ocrd.zip,Archive,ViewArchive.mjs,BinaryFamilyEditor.mjs
tar,Archive,ViewArchive.mjs,BinaryFamilyEditor.mjs
tgz,Archive,ViewArchive.mjs,BinaryFamilyEditor.mjs
xz,Archive,ViewArchive.mjs,BinaryFamilyEditor.mjs
zip,Archive,ViewArchive.mjs,BinaryFamilyEditor.mjs
alto,DataStorage,ViewALTO.mjs,XMLFamilyEditor.mjs
atom,DataStorage,ViewATOM.mjs,XMLFamilyEditor.mjs
avro,DataStorage,ViewAVRO.mjs,JSONFamilyEditor.mjs
avsc,DataStorage,ViewAVRO.mjs,JSONFamilyEditor.mjs
bam,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
bdf,DataStorage,ViewFont.mjs,BinaryFamilyEditor.mjs
bin,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
ccd,DataStorage,ViewXML.mjs,XMLFamilyEditor.mjs
cda,DataStorage,ViewXML.mjs,XMLFamilyEditor.mjs
cof,DataStorage,ViewXML.mjs,XMLFamilyEditor.mjs
db,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
dcm,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
eaf,DataStorage,ViewELAN.mjs,XMLFamilyEditor.mjs
ecg,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
edf,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
elf,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
fhir,DataStorage,ViewJSON.mjs,JSONFamilyEditor.mjs
fnt,DataStorage,ViewFont.mjs,BinaryFamilyEditor.mjs
foxml,DataStorage,ViewXML.mjs,XMLFamilyEditor.mjs
graphml,DataStorage,ViewGraph.mjs,XMLFamilyEditor.mjs
har,DataStorage,ViewJSON.mjs,JSONFamilyEditor.mjs
hdf5,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
hypothesis.json,DataStorage,ViewJSON.mjs,JSONFamilyEditor.mjs
iiif.json,DataStorage,ViewIIIF.mjs,JSONFamilyEditor.mjs
isoxml,DataStorage,ViewISOXML.mjs,XMLFamilyEditor.mjs
json,DataStorage,ViewJSON.mjs,JSONFamilyEditor.mjs
jsonl,DataStorage,ViewJSON.mjs,JSONFamilyEditor.mjs
jsonld,DataStorage,ViewJSON.mjs,JSONFamilyEditor.mjs
nvcircuit.json,Circuit,ViewText.mjs,CircuitEditor.mjs
landxml,DataStorage,ViewXML.mjs,XMLFamilyEditor.mjs
lift,DataStorage,ViewXML.mjs,XMLFamilyEditor.mjs
mets.xml,DataStorage,ViewXML.mjs,XMLFamilyEditor.mjs
mhd,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
mods.xml,DataStorage,ViewXML.mjs,XMLFamilyEditor.mjs
nc,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
ncx,DataStorage,ViewXML.mjs,XMLFamilyEditor.mjs
ndjson,DataStorage,ViewJSON.mjs,JSONFamilyEditor.mjs
netcdf,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
opf,DataStorage,ViewXML.mjs,XMLFamilyEditor.mjs
otf,DataStorage,ViewFont.mjs,BinaryFamilyEditor.mjs
parquet,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
pcf,DataStorage,ViewFont.mjs,BinaryFamilyEditor.mjs
pfa,DataStorage,ViewFont.mjs,BinaryFamilyEditor.mjs
pfb,DataStorage,ViewFont.mjs,BinaryFamilyEditor.mjs
rds,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
rss,DataStorage,ViewXML.mjs,XMLFamilyEditor.mjs
scxml,DataStorage,ViewSCXML.mjs,XMLFamilyEditor.mjs
sfd,DataStorage,ViewFont.mjs,BinaryFamilyEditor.mjs
sqlite,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
tei.xml,DataStorage,ViewXML.mjs,XMLFamilyEditor.mjs
ttf,DataStorage,ViewFont.mjs,BinaryFamilyEditor.mjs
wlf,DataStorage,ViewBinary.mjs,BinaryFamilyEditor.mjs
woff,DataStorage,ViewFont.mjs,BinaryFamilyEditor.mjs
woff2,DataStorage,ViewFont.mjs,BinaryFamilyEditor.mjs
xigt.xml,DataStorage,ViewXML.mjs,XMLFamilyEditor.mjs
xml,DataStorage,ViewXML.mjs,XMLFamilyEditor.mjs
xmp,DataStorage,ViewXMP.mjs,XMLFamilyEditor.mjs
